153.711 153.039 152.657 154.106 153.791 153.170
153.852 152.875 152.612 153.913 154.508 152.900
153.329 154.192 152.649 154.585 153.987 153.384
153.088 153.367 152.647 153.930 153.386 152.563
153.404 153.577 152.680 153.995 153.998 152.203
153.431 153.905 152.736 153.890 153.525 152.881
154.129 153.155 152.590 153.983 154.117 153.407
153.636 152.878 152.521 153.865 153.289 152.262
153.469 153.254 152.759 153.927 153.557 153.524
153.253 153.136 152.583 153.647 153.579 153.390
153.364 153.136 152.836 154.282 153.798 153.742
153.233 152.822 152.731 154.121 154.348 153.622
153.798 153.004 152.647 153.838 153.567 153.585
153.298 153.031 152.697 154.055 154.133 154.799
154.312 152.896 152.595 154.854 154.271 153.538
153.805 153.338 152.695 154.219 154.379 153.299
153.468 153.412 153.234 154.545 153.354 153.310
153.242 153.154 152.861 154.266 153.508 153.925
153.173 153.072 153.691 154.102 153.457 153.547
153.624 152.948 153.219 154.126 153.844 153.877
153.417 153.060 152.761 154.187 153.676 153.752
152.930 152.905 152.742 154.580 153.427 154.052
153.169 153.291 152.717 153.587 153.934 153.332
153.379 153.032 152.891 155.155 153.348 153.924
153.226 152.836 153.017 154.485 154.230 154.315
153.202 153.059 152.957 153.993 153.658 153.865
153.246 152.839 152.869 153.803 153.469 154.057
152.514 152.999 152.854 154.108 153.975 153.459
152.914 153.312 152.827 154.328 153.549 153.781
153.729 153.089 152.797 153.985 153.444 154.085
